"track_id","track_name","album_id","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"3zJakbnIw0ufiVnIFkLfA1","Ride","03guxdOi12XJbnvxvxbpwG",81000,0.649,0.654,5,-10.965,1,0.0629,0.547,0.822,0.0795,0.561,93.96,4
"1jlBePA3tcycCoANSSZbgj","Hamptons","03guxdOi12XJbnvxvxbpwG",188400,0.533,0.69,9,-7.756,0,0.0939,0.0548,0.557,0.196,0.392,97.623,3
"3SH1vOTwgg5Ma1NhHaXvrA","Echo","03guxdOi12XJbnvxvxbpwG",209427,0.747,0.453,2,-6.884,0,0.0413,0.53,0.000786,0.105,0.765,81.012,4
"19fKJrO9XdOf6Xla2QHecO","Run Your Mouth","03guxdOi12XJbnvxvxbpwG",160000,0.781,0.649,7,-6.866,1,0.0363,0.249,0.0349,0.229,0.916,111.005,4
"3HVRZxCp3BWYuYe8L8BMNH","Real Life","03guxdOi12XJbnvxvxbpwG",206973,0.783,0.603,0,-8.879,0,0.0265,0.521,0.351,0.119,0.633,100.994,4
"4yj9o2kdVcZfT57IALrsZA","Blur","03guxdOi12XJbnvxvxbpwG",225107,0.752,0.432,8,-7.964,1,0.0431,0.509,0.644,0.111,0.428,160.021,4
"4gtIYSYu8u2ItBqrhCaChL","Paranoia","03guxdOi12XJbnvxvxbpwG",231787,0.688,0.639,1,-7.992,1,0.0299,0.441,0.5,0.0753,0.773,120.039,4
"0phzfJn8NeT1LkbqfV2peI","Lejos de Ti","03guxdOi12XJbnvxvxbpwG",179520,0.549,0.473,0,-9.908,1,0.029,0.88,0.656,0.12,0.432,81.964,4
"3vxvz0JoRDvnx2jG9oPljA","Love You Anyway","03guxdOi12XJbnvxvxbpwG",237133,0.737,0.457,6,-9.132,1,0.0511,0.531,0.332,0.0881,0.915,144.031,4
"3L0JDlycMhSA7R0M0OfNIY","Ay No Puedo","03guxdOi12XJbnvxvxbpwG",181547,0.867,0.458,6,-10.521,0,0.0443,0.623,0.704,0.111,0.663,121.04,4
"3siwsiaEoU4Kuuc9WKMUy5","No One Noticed","03guxdOi12XJbnvxvxbpwG",236907,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4
"1N2NENvgrnemh4AuV2hawv","Vicious Sensitive Robot","03guxdOi12XJbnvxvxbpwG",194160,0.738,0.46,0,-9.401,1,0.154,0.693,0.627,0.0936,0.359,146.048,4
"7eQ0SV1eQXSZHBA1x4mcYu","If Only","03guxdOi12XJbnvxvxbpwG",156240,0.286,0.131,0,-13.964,0,0.0318,0.955,0.00289,0.11,0.0896,96.598,1
"0InIeZW4P6VO7dUGRM4AKH","Sienna","03guxdOi12XJbnvxvxbpwG",224840,0.685,0.468,7,-9.405,1,0.031,0.583,0.57,0.159,0.594,147.993,4
"0ZjTXCk5QKDR0wGGPgqSS3","Just a Feeling","5TkaDC4mYSLBvdG6UrIB0v",82493,0.248,0.257,1,-12.663,0,0.0353,0.932,0.928,0.274,0.196,51.996,4
"5WVWQQpBJqljbZtxo19CxS","Calling U Back","5TkaDC4mYSLBvdG6UrIB0v",199907,0.731,0.515,0,-7.584,1,0.122,0.385,0.00216,0.236,0.448,116.798,4
"4zXZ5Mq2L6jnsOsTssgRh8","Hush","5TkaDC4mYSLBvdG6UrIB0v",181893,0.846,0.431,5,-6.549,0,0.0351,0.071,0.176,0.0861,0.684,93.038,4
